sample,depth,permeability,porosity,density
156.00,3129.69,40.00,16.10,2.65
157.00,3130.60,3.54,18.80,2.65
158.00,3131.52,139.00,17.90,2.75
159.00,3132.43,57.00,18.00,2.66
160.00,3133.34,11.80,19.00,2.66
161.00,3134.26,10.40,21.30,2.67
162.00,3135.17,12.00,19.30,2.65
163.00,3135.17,6.73,20.40,2.66
164.00,3136.09,120.00,19.90,2.66
165.00,3137.00,55.00,17.70,2.65
166.00,3137.92,30.00,19.00,2.66
167.00,3138.83,57.00,17.00,2.66
168.00,3139.74,15.10,19.00,2.67
169.00,3140.66,19.70,18.90,2.66
170.00,3141.57,5.95,20.30,2.66
171.00,3142.49,33.00,22.80,2.66
172.00,3143.40,29.00,20.30,
173.00,3144.32,40.00,18.36,2.66
174.00,3145.23,,19.90,2.67
175.00,3146.15,8.79,16.50,2.65
176.00,3147.06,12.00,19.90,2.66
177.00,3147.97,78.00,18.60,2.79
178.00,3148.89,30.00,17.30,2.67
179.00,3149.80,2.06,19.40,2.69
180.00,3150.72,9.04,11.80,
181.00,3151.63,0.18,18.04,2.71
182.00,3152.55,,10.90,
183.00,3153.46,0.54,,2.66
184.00,3153.46,,22.50,2.66
185.00,3154.38,31.00,19.50,2.66
186.00,3155.29,4.19,22.90,2.65
